Optimizer,Best Val Acc (%),Best Val Acc Epoch,Test Acc @ Best Val (%),Test Loss @ Best Val,Best Test Loss,Best Test Loss Epoch,Test Acc @ Best Loss (%),Final Val Acc (%),Final Test Acc (%),Final Test Loss,Best Val Loss,Avg Epoch Time (s)
AdaBelief,81.8,174,77.31958762886597,0.5790763928718173,0.5651197674348182,155,78.76288659793815,80.6,77.31958762886597,0.5776501402412493,0.5431497058868409,2.0870333337783813
AdamW,80.8,139,76.28865979381443,0.6477758503451789,0.5830130092876473,73,77.9381443298969,79.6,77.52577319587628,0.6414118368601062,0.5396658833622933,1.8919876492023469
MergedAdaBelief,80.6,143,79.38144329896907,0.6573212104974334,0.5718828134930011,94,79.58762886597938,77.2,78.55670103092784,0.6430371454081585,0.5691598572134972,1.9594251775741578
Adam,80.4,128,78.14432989690722,0.6100824317981287,0.6051128397282866,138,78.35051546391753,78.8,76.70103092783505,0.6199504685770605,0.5613134694695473,1.804518642425537
AdaGrad,80.4,81,78.35051546391753,0.6071887994549938,0.5976848567883993,108,77.9381443298969,79.2,77.9381443298969,0.6115926459892509,0.5481629442572594,1.7642378556728362
NAdam,80.0,148,77.11340206185567,0.6274962269153792,0.5997158492963338,134,77.31958762886597,79.0,77.52577319587628,0.639023247269011,0.5765458016097545,1.6917448651790619
